コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,,,,,,,,,,,,,,,,,
Brank,,,“この国の軍隊は、現在のところ,,,,,,,,,,,,,,,,,,,,,,
,,,第8歩兵師団まであり――,,,,,,,,,,,,,,,,,,,,,,
Brank,,,この次に位置づけられたのが,,,,,,,,,,,,,,,,,,,,,,
,,,これから私達が所属することに,,,,,,,,,,,,,,,,,,,,,,
,,,なる第9特別歩兵師団である。,,,,,,,,,,,,,,,,,,,,,,
Brank,,,この師団が「特別」と名乗るのは、,,,,,,,,,,,,,,,,,,,,,,
,,,独特のバディ制度が理由だ。,,,,,,,,,,,,,,,,,,,,,,
Brank,,,ここで人間とバディを組む相手は、,,,,,,,,,,,,,,,,,,,,,,
,,,20年の研究の末、生み出された,,,,,,,,,,,,,,,,,,,,,,
,,,『人型自立稼働兵器』である。”,,,,,,,,,,,,,,,,,,,,,,
Sentence,研究員,,「これは体温を保つ必要がなく、,,,,Kenkyuin.png,,,,,,,,,,,,,,,,,,
,,,余分な重量を加えると、必要に,,,,,,,,,,,,,,,,,,,,,,
,,,なるエネルギー量が増えるので、,,,,,,,,,,,,,,,,,,,,,,
Sentence,研究員,,内臓脂肪がありません。,,,,Kenkyuin.png,,,,,,,,,,,,,,,,,,
,,,そこで、この躯体の冬季における,,,,,,,,,,,,,,,,,,,,,,
,,,保管方法なのですが……。,,,,,,,,,,,,,,,,,,,,,,
Sentence,研究員,,パーシヴァル少佐、,,,,Kenkyuin.png,,,,,,,,,,,,,,,,,,
,,,コンラッド・パーシヴァル少佐？,,,,,,,,,,,,,,,,,,,,,,
,,,お聞きになっていますか？」,,,,,,,,,,,,,,,,,,,,,,
Brank,,,問いかけに、コンラッドは手を,,,,,,,,,,,,,,,,,,,,,,
,,,挙げて応えた。,,,,,,,,,,,,,,,,,,,,,,
,,,しかし、その視線は、眼前の,,,,,,,,,,,,,,,,,,,,,,
Brank,,,養殖カプセル内で体を丸める,,,,,,,,,,,,,,,,,,,,,,
,,,人型自立稼働兵器に向いている。,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「もう十分説明書は読んだよ。,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
,,,早く彼をここから出してくれ。,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,そして今後、彼のことは人間で,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
,,,あると認識するように」,,,,,,,,,,,,,,,,,,,,,,
Sentence,研究員,,「人型をしているとは言え、,,,,Kenkyuin.png,,,,,,,,,,,,,,,,,,
,,,人間ではありませんよ」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「それでもだ」,,,,Conrad_face.png,,,,,,,,,,,,,,,,,,
Sentence,研究員,,「…全く、頭の固い人だ。」,,,,Kenkyuin.png,,,,,,,,,,,,,,,,,,
Brank,,,研究員がカプセルを開くと、,,,,,,,,,,,,,,,,,,,,,,
,,,人型自立稼働兵器の瞳が開き、,,,,,,,,,,,,,,,,,,,,,,
,,,その視界にコンラッドを捉えた。,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,右,「おいで、ルーカス。今日から,,,,,,,,,,,,,,,,,,,,,,
,,,君は、俺の大切なバディだ」,,,,Conrad_smile2.png,,,,,,,,,,,,,,,,,,
