コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,コンラッド,右,「こういうのは、久しぶりだな」,scbg_lucassroom.png,SCBGM_shireibunaiyoru.wav,,Conrad_smile2.png
Brank,,,ルーカスの背中、人間で言う,,,,
,,,肩甲骨に当たる部位に油を差して,,,,
,,,いたコンラッドが口を開いた。,,,,
Sentence,ルーカス,左,「どういう意味だ……？」,,,,Lucas_face.png
Sentence,コンラッド,右,「このところ、お前に世話を,,,,Conrad_smile2.png
,,,焼かせてばかりだから。,,,,
,,,俺は最近、自分を抑えきれない」,,,,
Sentence,ルーカス,左,「……それは、お前の正義感が,,,,Lucas_face.png
,,,悲鳴を上げているからだ」,,,,
Sentence,コンラッド,右,「……正義感か……」,,,,Conrad_face.png
Brank,,,コンラッドは雑巾で手を拭った。,,,,
Sentence,コンラッド,右,「できたぞ」,,,,Conrad_face.png
Sentence,ルーカス,左,「いつも悪い。ありがとう」,,,,Lucas_face.png
Sentence,コンラッド,右,「いや……。本来なら、こういう,,,,Conrad_face.png
,,,時期こそ冷静になるべきなんだ。,,,,
Sentence,コンラッド,右,なのに、俺はそれが出来ない。,,,,Conrad_face.png
,,,まだまだ未熟だな……」,,,,
Sentence,ルーカス,左,「仕方ない。お前は人間で、,,,,Lucas_face.png
,,,俺よりも感情の色が豊富だから」,,,,
Sentence,コンラッド,右,「時々、わからなくなる。,,,,Conrad_face.png
Sentence,コンラッド,右,……俺の判断や行動は、本当に,,,,Conrad_face.png
,,,正しいのか？　エゴや優越感に,,,,
,,,動かされているんじゃないかと」,,,,
Sentence,ルーカス,左,「どういうことだ」,,,,Lucas_face.png
Sentence,コンラッド,右,「……俺は人間だ。本当の意味で、,,,,Conrad_face.png
,,,機械奴隷や人型自立稼働兵器の,,,,
Sentence,コンラッド,右,気持ちや思いを理解しているわけ,,,,Conrad_face.png
,,,ではないだろう。,,,,
Sentence,コンラッド,右,俺が勝手に動くことで、お前だけ,,,,Conrad_face.png
,,,でなく、機械奴隷の方々の運命を,,,,
,,,左右しているんじゃないかと」,,,,
Brank,,,ルーカスは黙り込んだ。,,,,
,,,彼の言葉の意味が咀嚼できない。,,,,
Sentence,コンラッド,右,「たとえば、クロフト准将を,,,,Conrad_face.png
,,,怒らせているのは俺だ。彼女の,,,,
